respondent_id,profile_level,format,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0001,IIR0,text,because of the rain,water falls from the sky when it rains,idk,i just dont know,i dont know,i just dont know,middle school has math class,i am in middle school too,idk,i didnt know the answer,you can buy ice cream outside,he got ice cream in the story
R0002,IIR0,comic,because he has red hair,his hair is red in the picture,I have no idea.,im not sure what the lesson is,Because she is wearing a yellow shirt.,I saw it in the drawing.,I dont know,idk,I don't know.,I just don't know the answer.,You should eat ice cream.,Because Billy is eating ice cream in the comic.
R0003,IIR0,comic,He kept the cat because basketball is fun to play.,Because the kids were playing basketball outside.,I dont know.,I just dont know what the lesson is.,idk maybe she likes backpacks.,she has a big blue backpack in the locker room.,i don't know.,the story didn't say any lessons.,because he had a black shirt on.,i saw his shirt in the picture.,ice cream is really good.,i like strawberry ice cream the best.
R0004,IIR0,text,I don't know.,I just don't know.,Clouds mean it might rain.,It said it was a cloudy day.,Because her name is Sarah.,That's what the story said her name was.,I don't know.,I am not sure.,Because he was eating ice cream.,I like ice cream too.,I don't know what lesson.,I just don't know.
R0005,IIR0,comic,he was sitting on a bench,the picture showed him on the bench,cats have tails,my cat at home has a long tail,I don't know.,Because I just can't tell.,school has lockers,they were standing by lockers in the first part,because bikes are red,i like red bikes a lot,idk,idk
R0006,IIR0,text,I dont know.,im not sure.,cats have fur.,my grandma has a cat.,I don't know why.,it didn't really say it.,math is hard.,I always guess on my math tests.,because he likes wallets.,he opened it up I guess.,ice cream is yummy.,I like eating ice cream outside too.
R0007,IIR0,comic,Because his name is Bruno.,He says my name is Bruno at the very end.,You shouldn't play basketball.,They were playing basketball in the story.,idk,I just really don't know why she did that.,Math tests have a lot of questions.,Because they are taking a math class in middle school.,Because he was eating ice cream.,I saw it in the picture where he is sitting outside.,I don't know.,The story didn't say a lesson.
R0008,IIR0,comic,"I dont know, maybe cats like milk.",I just thought about what cats drink.,Basketball is a fun sport to play.,The kids were talking about playing basketball.,Because her backpack is blue.,She is wearing a blue backpack in the first picture.,Math tests are exactly 40 minutes long.,The teacher said that in the comic when she passed them out.,Because he likes going to the beach.,It said he was riding his bike to the beach at the start.,I really don't know.,I just couldn't think of any lesson for this.
R0009,IIR0,text,cause he wanted a cheeseburger.,I am hungry and want to eat lunch.,I dont know what the lesson is.,I just guessed idk.,idk,im not sure what the story means.,you should always use a pencil when you take a test.,because if you use a pen you cant erase it when you mess up.,I dont know.,I just dont know the answer.,Bikes have two wheels.,I learned how to ride a bike last year with my brother.
R0010,IIR0,text,I dont know.,I didn't really get it.,Basketballs are orange and round.,I like to play basketball at my house.,I don't know.,I just didn't know the answer.,Schools have desks in them.,I sit at a desk at school.,Because bikes have two wheels.,I saw a bike outside.,I have no idea.,Because I don't know what a lesson is.
R0011,IIR0,text,I really dont know.,I just dont know.,basketball is a fun sport.,they play basketball in the street.,because math tests take 40 minutes.,the teacher said that.,idk,im just not sure.,I dont know.,because it didnt tell me.,you can buy ice cream outside.,he was eating ice cream.
R0012,IIR0,text,idk,nothing made me think of it,dogs are better than cats.,because my dog is big.,Math is super hard to do.,Because I have math next period.,idk really,cuz i dont know the answer,Ice cream is cold.,I like eating chocolate ice cream.,i don't know,i just guessed
R0013,IIR0,comic,i dont know why he kept it.,i just dont know.,basketball is a fun sport to play.,they were playing basketball in the comic.,she has a blue backpack.,cause I saw it on the first page.,idk,im just guessing,ice cream is really cold.,because I like eating ice cream in the summer.,dont sit at blue tables.,the tables in the picture are blue.
R0014,IIR0,text,Idk.,I just don't know why he did that.,Basketball is played with an orange ball.,I play basketball at recess sometimes.,I don't know.,Because I wasn't there to see it.,Math tests take 40 minutes.,The teacher said they have 40 minutes to finish.,Because tables are outside.,He was sitting at the table outside the shop.,Ice cream always makes you feel better.,Billy said that to himself in the story.
R0015,IIR0,comic,he has red hair.,i looked at the picture.,don't be in the rain.,cause you will get wet and cold.,she is just doing her test.,because she is writing.,lockers are grey.,they are standing by the lockers.,cause he went to the store.,idk i just guessed.,bikes are 300 dollars.,the kid said it in the first part.
R0016,IIR0,text,Because his name is Bruno.,It says his name is Bruno at the end.,Don't play basketball in the rain.,Because the cat was in the rain.,idk,I just didn't know what to put.,"I don't know, maybe math tests are 40 minutes.",The teacher said they have 40 minutes.,Because he likes ice cream.,He said ice cream makes him feel better.,I don't know.,I really don't know.
