respondent_id,level,format,experience,story,question,question_type,response_text,response_length_words,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,keyword_composite,sim_WAYPOINT0,sim_WAYPOINT1,sim_WAYPOINT2,sim_WAYPOINT3,predicted_waypoint,semantic_quality,overall_composite,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
R0001,WAYPOINT0,comic,moderate,cat,q1,inference,Because cats eat mice so they are really good to have around the house.,14,0.4,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.8125,,,,,,,0.8125,,,,,,,,
R0001,WAYPOINT0,comic,moderate,cat,q2,metacognitive,I just know that cats like catching mice from real life.,11,0.2,0.4,0.4,0.5,0.0,1.0,0.0,1.0,0.365,,,,,,,0.365,,,,,,,,
R0001,WAYPOINT0,comic,moderate,cat,q3,inference,I don't really know what the lesson is. Maybe to not wear a green shirt?,15,0.2,0.6,0.6,0.5,0.0,0.0,1.0,1.0,0.485,,,,,,,0.485,,,,,,,,
R0001,WAYPOINT0,comic,moderate,cat,q4,metacognitive,I said that because the main boy is wearing a green shirt in all the panels.,16,0.2,0.6,0.6,0.25,0.0,0.0,0.0,1.0,0.4475,,,,,,,0.4475,,,,,,,,
R0001,WAYPOINT0,comic,moderate,lying,q1,inference,I honestly don't know. Maybe she just forgot what she was going to say to the teacher.,17,0.4,0.8,0.5333,1.0,,,,,0.6367,,,,,,,0.6367,1.0,1.0,1.0,1.0,,,,
R0001,WAYPOINT0,comic,moderate,lying,q2,metacognitive,I just couldn't figure it out from reading the comic.,10,0.4,0.4,0.1333,0.5,,,,,0.3217,,,,,,,0.3217,0.0,1.0,1.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,lying,q3,inference,The lesson is probably that lockers are a good place to talk before class starts.,15,0.4,0.6,0.6,0.75,,,,,0.5725,,,,,,,0.5725,1.0,1.0,1.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,lying,q4,metacognitive,Because in the first few panels they are just standing by their lockers talking to each other.,17,0.4,0.6,0.4,0.5,,,,,0.465,,,,,,,0.465,0.0,1.0,1.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,stealing,q1,inference,I honestly have no clue why he decided to keep her wallet.,12,0.4,0.5,0.5,0.5,,,,,0.475,,,,,,,0.475,,,,,1.0,1.0,0.0,0.0
R0001,WAYPOINT0,comic,moderate,stealing,q2,metacognitive,"The comic didn't really tell me the reason, so I just don't know.",13,0.2,0.0,0.1333,0.5,,,,,0.1717,,,,,,,0.1717,,,,,1.0,1.0,0.0,0.0
R0001,WAYPOINT0,comic,moderate,stealing,q3,inference,Always ride your bike to the ice cream shop.,9,0.4,0.0,0.2667,0.25,,,,,0.2308,,,,,,,0.2308,,,,,0.0,1.0,0.0,0.0
R0001,WAYPOINT0,comic,moderate,stealing,q4,metacognitive,Because that's what Billy did in the story after talking to his parents.,13,0.2,0.5,0.5,0.5,,,,,0.425,,,,,,,0.425,,,,,1.0,1.0,0.0,0.0
R0002,WAYPOINT0,comic,little,cat,q1,inference,"I don't know, maybe because they played basketball.",8,0.6,0.2,0.4,0.25,0.0,0.0,0.0,1.0,0.3775,,,,,,,0.3775,,,,,,,,
R0002,WAYPOINT0,comic,little,cat,q2,metacognitive,The kids said something about basketball so I guess that's it.,11,0.4,0.4,0.4,0.25,0.0,0.0,0.0,1.0,0.3775,,,,,,,0.3775,,,,,,,,
R0002,WAYPOINT0,comic,little,cat,q3,inference,"Um, always wash your hands.",5,0.4,0.0,0.1333,0.25,0.0,0.0,0.0,1.0,0.1842,,,,,,,0.1842,,,,,,,,
R0002,WAYPOINT0,comic,little,cat,q4,metacognitive,The girl in the comic told him he had to wash his hands.,13,0.4,0.4,0.2667,0.5,0.0,0.0,1.0,1.0,0.3683,,,,,,,0.3683,,,,,,,,
R0002,WAYPOINT0,comic,little,lying,q1,inference,I don't really know. I guess she is just doing her test.,12,0.4,0.2,0.1333,0.75,,,,,0.3092,,,,,,,0.3092,1.0,1.0,0.0,1.0,,,,
R0002,WAYPOINT0,comic,little,lying,q2,metacognitive,Because she is sitting at her desk with a paper in the pictures.,13,0.6,0.8,0.2667,0.5,,,,,0.5183,,,,,,,0.5183,0.0,1.0,1.0,0.0,,,,
R0002,WAYPOINT0,comic,little,lying,q3,inference,Math is really hard to do.,6,0.4,0.4,0.2667,1.0,,,,,0.4433,,,,,,,0.4433,1.0,1.0,1.0,1.0,,,,
R0002,WAYPOINT0,comic,little,lying,q4,metacognitive,"I don't know, the teacher said they have 40 minutes to finish so it must be hard.",17,0.2,0.6,0.6,0.75,,,,,0.5225,,,,,,,0.5225,1.0,1.0,1.0,0.0,,,,
R0002,WAYPOINT0,comic,little,stealing,q1,inference,I don't really know. Maybe he just wanted a wallet.,10,0.4,0.5,0.5,0.75,,,,,0.5125,,,,,,,0.5125,,,,,1.0,1.0,0.0,1.0
R0002,WAYPOINT0,comic,little,stealing,q2,metacognitive,I just guessed cause it didn't really say why.,9,0.0,0.25,0.1667,0.25,,,,,0.1583,,,,,,,0.1583,,,,,1.0,0.0,0.0,0.0
R0002,WAYPOINT0,comic,little,stealing,q3,inference,"Um, maybe that you should eat ice cream outside.",9,0.2,0.25,0.0833,0.5,,,,,0.2167,,,,,,,0.2167,,,,,0.0,1.0,1.0,0.0
R0002,WAYPOINT0,comic,little,stealing,q4,metacognitive,Because the boy is eating his ice cream at the blue table in the picture.,15,0.2,0.25,0.1667,0.5,,,,,0.2458,,,,,,,0.2458,,,,,1.0,1.0,0.0,0.0
R0003,WAYPOINT0,text,little,cat,q1,inference,Um I don't really know. Maybe because cats like to drink milk.,12,0.2,0.8,0.5333,0.5,0.0,0.0,1.0,1.0,0.5117,,,,,,,0.5117,,,,,,,,
R0003,WAYPOINT0,text,little,cat,q2,metacognitive,I saw a cat drink milk from a bowl once.,10,0.0,0.2,0.1333,0.25,0.0,1.0,0.0,0.0,0.1342,,,,,,,0.1342,,,,,,,,
R0003,WAYPOINT0,text,little,cat,q3,inference,you should always wear a seatbelt.,6,0.2,0.0,0.0667,0.25,0.0,0.0,0.0,1.0,0.1108,,,,,,,0.1108,,,,,,,,
R0003,WAYPOINT0,text,little,cat,q4,metacognitive,cause my mom tells me to do that in the car.,11,0.0,0.6,0.6,0.5,0.0,1.0,1.0,0.0,0.435,,,,,,,0.435,,,,,,,,
R0003,WAYPOINT0,text,little,lying,q1,inference,I don't know why.,4,0.2,0.0,0.0,0.25,,,,,0.0875,,,,,,,0.0875,1.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,lying,q2,metacognitive,It just doesn't say in the story.,7,0.2,0.0,0.0667,0.0,,,,,0.0733,,,,,,,0.0733,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,lying,q3,inference,that tests are 40 minutes long.,6,0.4,0.0,0.2667,0.25,,,,,0.2308,,,,,,,0.2308,1.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,lying,q4,metacognitive,cause the teacher said you have 40 minutes.,8,0.4,0.6,0.2,0.5,,,,,0.395,,,,,,,0.395,0.0,1.0,1.0,0.0,,,,
R0003,WAYPOINT0,text,little,stealing,q1,inference,"Um, maybe because wallets can hold pictures.",7,0.4,0.5,0.3333,0.5,,,,,0.4167,,,,,,,0.4167,,,,,1.0,1.0,0.0,0.0
R0003,WAYPOINT0,text,little,stealing,q2,metacognitive,My mom keeps pictures in her wallet so I just thought of that.,13,0.2,0.25,0.1667,0.25,,,,,0.2083,,,,,,,0.2083,,,,,1.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,little,stealing,q3,inference,I don't really know a lesson. Maybe that the beach is pretty.,12,0.4,0.0,0.2667,0.25,,,,,0.2308,,,,,,,0.2308,,,,,0.0,1.0,0.0,0.0
R0003,WAYPOINT0,text,little,stealing,q4,metacognitive,"I just didn't know what to say, but he rode his bike to the beach at the start.",18,0.6,0.25,0.2,0.5,,,,,0.3575,,,,,,,0.3575,,,,,1.0,1.0,0.0,0.0
R0004,WAYPOINT0,comic,none,cat,q1,inference,i dont know.,3,0.0,0.4,0.1333,0.25,0.0,1.0,0.0,0.0,0.1842,,,,,,,0.1842,,,,,,,,
R0004,WAYPOINT0,comic,none,cat,q2,metacognitive,i dont know how to do this.,7,0.0,0.4,0.2667,0.5,0.0,1.0,1.0,0.0,0.2683,,,,,,,0.2683,,,,,,,,
R0004,WAYPOINT0,comic,none,cat,q3,inference,cats drink milk.,3,0.0,0.2,0.1333,0.0,0.0,0.0,0.0,0.0,0.0967,,,,,,,0.0967,,,,,,,,
R0004,WAYPOINT0,comic,none,cat,q4,metacognitive,i saw a cat drink milk on tv.,8,0.0,0.2,0.1333,0.25,0.0,1.0,0.0,0.0,0.1342,,,,,,,0.1342,,,,,,,,
R0004,WAYPOINT0,comic,none,lying,q1,inference,i dont no.,3,0.2,0.0,0.0,0.25,,,,,0.0875,,,,,,,0.0875,1.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,none,lying,q2,metacognitive,im not sure.,3,0.2,0.0,0.0,0.0,,,,,0.05,,,,,,,0.05,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,none,lying,q3,inference,math is hard to do.,5,0.4,0.2,0.2667,0.75,,,,,0.3558,,,,,,,0.3558,1.0,1.0,1.0,0.0,,,,
R0004,WAYPOINT0,comic,none,lying,q4,metacognitive,because they are in math class.,6,0.6,0.4,0.2,0.5,,,,,0.395,,,,,,,0.395,0.0,1.0,1.0,0.0,,,,
R0004,WAYPOINT0,comic,none,stealing,q1,inference,I dont know.,3,0.2,0.0,0.0667,0.25,,,,,0.1108,,,,,,,0.1108,,,,,0.0,1.0,0.0,0.0
R0004,WAYPOINT0,comic,none,stealing,q2,metacognitive,i dont know what to write.,6,0.2,0.0,0.2,0.25,,,,,0.1575,,,,,,,0.1575,,,,,0.0,1.0,0.0,0.0
R0004,WAYPOINT0,comic,none,stealing,q3,inference,ice cream is good.,4,0.2,0.25,0.1667,0.5,,,,,0.2458,,,,,,,0.2458,,,,,1.0,1.0,0.0,0.0
R0004,WAYPOINT0,comic,none,stealing,q4,metacognitive,he eats ice cream at the table.,7,0.2,0.0,0.0667,0.25,,,,,0.1108,,,,,,,0.1108,,,,,0.0,1.0,0.0,0.0
R0005,WAYPOINT0,text,lot,cat,q1,inference,He kept the cat because domestic felines are historically descended from wildcats and are currently one of the most common household pets globally.,23,0.8,0.6,0.8,0.25,0.0,0.0,0.0,1.0,0.6675,,,,,,,0.6675,,,,,,,,
R0005,WAYPOINT0,text,lot,cat,q2,metacognitive,I thought of this fact because I recently watched a rather fascinating documentary regarding the evolutionary history and domestication of urban animals.,22,0.2,0.4,0.4,0.5,0.0,1.0,0.0,1.0,0.365,,,,,,,0.365,,,,,,,,
R0005,WAYPOINT0,text,lot,cat,q3,inference,"To be completely honest, I do not believe there is any coherent moral or lesson to be extracted from this particular narrative.",22,0.4,0.8,0.8,0.5,1.0,0.0,1.0,0.0,0.655,,,,,,,0.655,,,,,,,,
R0005,WAYPOINT0,text,lot,cat,q4,metacognitive,I reached this conclusion simply because the events described are quite literal and do not seem to convey any deeper philosophical meaning or ethical takeaway.,25,0.4,0.8,0.8,0.75,1.0,1.0,0.0,1.0,0.6925,,,,,,,0.6925,,,,,,,,
R0005,WAYPOINT0,text,lot,lying,q1,inference,I genuinely have absolutely no idea why Sarah ultimately chose to respond to Ms. Craig in that manner.,18,0.6,0.4,0.6,0.75,,,,,0.5725,,,,,,,0.5725,1.0,1.0,1.0,0.0,,,,
R0005,WAYPOINT0,text,lot,lying,q2,metacognitive,"I arrived at this conclusion simply because I could not extract a coherent justification from the passage, leaving me entirely uncertain about her underlying rationale.",25,0.2,1.0,0.6667,1.0,,,,,0.6833,,,,,,,0.6833,1.0,1.0,1.0,1.0,,,,
