respondent_id,level,format,experience,story,question,question_type,response_text,response_length_words,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,keyword_composite,sim_WAYPOINT0,sim_WAYPOINT1,sim_WAYPOINT2,sim_WAYPOINT3,prediction_top_sim,prediction_margin,predicted_waypoint,semantic_quality,has_semantic_score,overall_composite,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
R0001,WAYPOINT0,comic,,cat,q1,inference,I dont know.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.3346,0.3074,0.2788,0.567,0.2324,,0.4001,True,0.2401,,,,,,,,
R0001,WAYPOINT0,comic,,cat,q2,metacognitive,I just don't know the answer to it.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9048,0.3537,0.4012,0.3377,0.9048,0.5035,WAYPOINT0,0.362,True,0.2172,,,,,,,,
R0001,WAYPOINT0,comic,,cat,q3,inference,always eat your vegetables before dessert.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872,0.4016,0.4347,0.3614,0.4347,0.0331,,0.4953,True,0.2972,,,,,,,,
R0001,WAYPOINT0,comic,,cat,q4,metacognitive,thats what my dad tells me every night.,8,0.0,0.2,0.0,0.25,0.0,0.0,1.0,0.0,0.0875,0.6817,0.3366,0.4326,0.3465,0.6817,0.2491,WAYPOINT0,0.4157,True,0.2844,,,,,,,,
R0001,WAYPOINT0,comic,,lying,q1,inference,Because her shirt is pink.,5,0.0,0.0,0.0,0.0,,,,,0.0,0.6059,0.4744,0.4769,0.3899,0.6059,0.129,,0.4447,True,0.2668,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,lying,q2,metacognitive,I like pink shirts and she is wearing one.,9,0.0,0.0,0.0,0.0,,,,,0.0,0.4981,0.4118,0.4046,0.3666,0.4981,0.0863,,0.4602,True,0.2761,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,lying,q3,inference,idk.,1,0.0,0.0,0.0,0.0,,,,,0.0,0.545,0.2618,0.2775,0.2421,0.545,0.2675,,0.3878,True,0.2327,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,lying,q4,metacognitive,nothing.,1,0.2,0.0,0.0,0.0,,,,,0.05,0.5315,0.3253,0.321,0.3381,0.5315,0.1934,,0.4357,True,0.2814,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,stealing,q1,inference,because wallets hold pictures of peoples dogs.,7,0.0,0.0,0.0,0.0,,,,,0.0,0.4354,0.5211,0.4836,0.5004,0.5211,0.0208,,0.5135,True,0.3081,,,,,0.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,,stealing,q2,metacognitive,my mom has a picture of our dog in her wallet.,11,0.2,0.0,0.0,0.0,,,,,0.05,0.3381,0.4292,0.3253,0.435,0.435,0.0058,,0.5204,True,0.3322,,,,,0.0,0.0,0.0,0.0
