respondent_id,profile_level,format,experience,scenario_order,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0001,IIR0,comic,none,Lying|Cat|Stealing,cats catch mice.,my grandma has a cat that gets mice.,I dont know.,im not sure.,i dont know why she didnt tell.,it doesnt say why on the paper.,dont run in the halls.,you can fall down.,I dont know why.,the story is confusing to read.,ice cream is good.,he was eating it at the table.
R0002,IIR0,text,none,Cat|Stealing|Lying,I dont no.,im not sure what to write.,cats drink milk.,i saw a cat drink milk once.,i dont know.,i cant tell.,math is numbers.,because we learn math at school.,I dont know.,im not sure.,Ice cream is yummy.,cuz I like eating it.
R0003,IIR0,text,little,Lying|Stealing|Cat,I dont really know. Um maybe because he likes playing basketball.,Because one of the boys was talking about basketball.,Um maybe that you should wash your hands.,Because dirt is yucky and the story said to wash hands.,I don't really know.,The story didn't tell me why.,Math tests take 40 minutes.,The teacher said it in the story.,"Um, I don't really know. Maybe because he likes ice cream?",Because he was at the ice cream shop eating it.,Maybe that you should always wear a helmet when riding.,Because bikes can be dangerous and my mom always says to.
R0004,IIR0,comic,none,Cat|Stealing|Lying,because cats catch mice.,my grandma has a cat.,i dont know.,its hard to read this.,I dont know.,I never read comics before so I dont know.,You take math in middle school.,I am in middle school and take math.,i dont know.,im not sure what is happening.,you should wear a helmet.,bikes can be dangerous if you fall off.
R0005,IIR0,comic,little,Stealing|Lying|Cat,I don't really know. Maybe so he can give it some milk.,Cats like to drink milk from bowls.,"Um, you should always look both ways before crossing the street.",Because the story said the cat walked down the street in the first box.,I don't really know. Maybe because they are doing math.,It says they are taking a math class together in the first box.,Um I guess that you need a pencil for school.,Because I saw Sarah holding a pencil at her desk in the picture.,I don't really know. Maybe he just likes picking stuff up.,I didn't know what else to say for this one.,"Um, that red bikes are cool I guess.",Because the other kid had a red bike at the beach.
R0006,IIR0,comic,moderate,Cat|Stealing|Lying,He kept the cat because cats like to eat fish.,My grandma has a cat and it eats fish all the time so that's probably why.,I don't really know what the lesson is. Maybe just that cats are black.,Because the cat in all the comic panels is colored black.,I have no idea. Maybe she just wanted to concentrate on her math test because math is hard.,"Because math is my hardest subject too, so I usually just focus on my own paper and don't talk.","I don't really know, maybe that you should always make sure you bring a pencil to class.",I just saw in the pictures that they are both using pencils to take their math test.,I don't really know why he kept it.,I just couldn't figure it out from reading the comic.,You should always wear a helmet when you ride your bike.,Because I know you have to be safe on bikes in real life even if the comic didn't show it.
R0007,IIR0,comic,lot,Lying|Cat|Stealing,I honestly have no idea why the boy ended up keeping the cat.,"The sequence of panels just didn't provide a logical explanation for his sudden change of heart, so I couldn't deduce a definitive reason.",Perhaps the main lesson is that you should always be incredibly cautious around strays because they can carry various zoonotic diseases.,Seeing the illustrations of the dirty cat simply reminded me of a scientific documentary I watched recently about the transmission of pathogens from feral animals.,I am honestly not certain why she chose to remain silent. Perhaps she was simply prioritizing her own mathematics assignment because they were on a strict time limit.,"The instructor explicitly announced at the beginning of the period that the students only had forty minutes to complete their work, so Sarah probably needed to concentrate.",A lesson someone might learn is that it is important to always use a proper pencil when filling out a multiple-choice answer document.,"I noticed Rachel was rapidly bubbling in her answer sheet, and from my own academic background, I know that utilizing the correct writing utensil is essential for those types of exams.",I honestly have absolutely no idea why he decided to keep her wallet.,"I just couldn't find anything to help me figure that out, to be perfectly candid.",A good lesson is that the beach is a wonderful place to spend a sunny afternoon.,The background in the initial panels features a very picturesque ocean scene with waves.
R0008,IIR0,comic,moderate,Cat|Stealing|Lying,I don't really know. Maybe because cats are good at catching mice.,Because I have a cat at home and she catches mice all the time.,That basketball is a really fun sport to play.,In the comic they talked about going to play basketball.,I don't really know why she didn't tell on her. Math tests are just really hard for middle schoolers.,Because the very first box says they are in middle school and taking a math class together.,A good lesson is that you need to make sure you read every question carefully.,I said that because Sarah has a thought bubble in the comic where she says she needs to read them carefully so she doesn't get them wrong.,Because wallets are used to keep your money and credit cards safe.,Everyone has a wallet to put their cash in.,I don't really know what lesson you can learn from this.,The comic doesn't say a lesson anywhere at the end.
R0009,IIR0,text,moderate,Stealing|Cat|Lying,Probably because cats like to eat fish and catch mice.,"I saw a cat catch a mouse on TV once, so that's what made me think of it.",I don't really know what lesson you can learn from this.,It just seems like a random story to me.,I don't really know why she didn't say anything. I guess maybe math is just a really boring subject for them.,"Because I usually get pretty bored in math class too, so I don't pay attention.",You should learn that you always need to bring a calculator to class.,I thought of that because they are taking a middle school math test.,"To be completely honest, I really don't know why he decided to keep the wallet.","I read the story but I just couldn't figure out a reason for it, so I have no idea.",I think the lesson is that you shouldn't eat ice cream right before dinner.,"My mom always tells me not to do that because it ruins your appetite, so he probably shouldn't have been eating it."
R0010,IIR0,comic,none,Cat|Lying|Stealing,i dont know. maybe to catch mice.,cats catch mice at my uncles farm. i dont really know how to read these pictures.,basketballs are bouncy.,it said basketball in one of the bubbles. i dont know what else it means.,i dont know.,i cant really tell from the pictures.,you should sleep good before a test.,my teacher tells us that for tests.,i dont know.,im confused by the word bubbles.,i dont know. bikes are fast.,there is a red bike in the first picture.
R0011,IIR0,text,lot,Lying|Stealing|Cat,I am honestly quite perplexed and genuinely do not know why he decided to keep the cat. Perhaps it is simply because stray mammals are known to frequently inhabit urban environments.,"I articulated that response because the text left me completely unsure, and my mind just drifted to general ecological facts about city wildlife rather than the narrative.",I fail to perceive any substantial moral or lesson hidden within this passage. I truly have absolutely no idea what the author was attempting to convey to the reader.,"I arrived at this conclusion because the overarching purpose escapes my comprehension entirely, leaving me completely unable to provide a coherent interpretation.",Sarah probably keeps quiet because the teacher mentioned they only had forty minutes to finish the whole test.,I figured this because talking or causing a distraction would just waste the valuable time she needs to carefully read and answer her own questions.,I'm honestly pretty uncertain about what specific lesson someone is supposed to learn from this story.,I say this because the text just describes a normal day in a middle school classroom without giving away any obvious theme.,"I genuinely have no idea why he decided to keep the wallet. Perhaps he simply wanted to examine the leather craftsmanship, as wallets can often be quite fascinating objects.","The narrative completely failed to provide me with a comprehensible motive, but I personally possess a vast appreciation for high-quality leather goods, which heavily influenced my rather speculative hypothesis.",A particularly valuable lesson one could extract from this narrative is the undeniable importance of consuming frozen dairy treats whenever one happens to be outdoors.,"Ice cream parlors frequently serve as delightful environments for relaxation, and indulging in such delicious desserts is universally recognized as a fantastic recreational pastime."
R0012,IIR0,comic,little,Lying|Cat|Stealing,Um I don't know. I have a cat at home.,I just thought about my own cat.,I don't know... maybe that basketball is fun.,Because they were playing it in the pictures.,I dont really know. She was just sitting there.,I just looked at the drawing and didn't know.,How to do math.,Because they are in a math class in the story.,I don't really know.,I just wasn't sure what to put for this one from the drawings.,Um maybe that you should always wear a helmet on your bike.,Because my dad says helmets keep you safe when you ride outside.
R0013,IIR0,comic,lot,Stealing|Cat|Lying,"I am honestly completely unsure why he decided to keep the cat. Felines are notoriously independent creatures that require a specific diet, so it's quite a mystery.","I couldn't really deduce his underlying motivation from the character's dialogue bubbles, so I just thought about typical feline biology.",It is quite difficult to extract a meaningful moral from this narrative. Perhaps the lesson is that sudden meteorological changes can cause it to rain.,"The illustrations clearly show a shift from fair weather to heavy precipitation in the later panels, which is just a standard weather pattern.",I honestly have absolutely no clue why she decided to keep that information to herself.,"I read through all the dialogue bubbles carefully, but I just couldn't figure out a logical reason for her behavior.",The main lesson someone could learn is that lockers in middle school are incredibly plain and boring.,"The background of the first few panels prominently features these massive, detailed gray lockers, which really stood out to me while I was analyzing the artwork.",I genuinely have no idea why he kept it. Maybe he just wanted to start a collection of interesting leather accessories.,"I just thought of that because lots of people have fascinating hobbies, and collecting vintage wallets seems like it could be quite engaging.",The most apparent lesson here is that sitting outside to eat your dessert is a fantastic way to enjoy a beautiful afternoon.,"I mentioned that because he specifically chose to take his ice cream to a table outside, which always makes for a highly pleasant experience."
R0014,IIR0,text,lot,Cat|Lying|Stealing,It is entirely possible that he kept the cat to assist with rodent population control within his private residence.,I based this particular hypothesis on the universally acknowledged biological fact that felines are natural predators of mice and other small pests.,"I honestly do not know what lesson is supposed to be learned here, as the story seems entirely devoid of any meaningful moral.",I formulated this perspective because my mind drew a complete blank when attempting to extract a deeper philosophical meaning from these events.,I truly have no idea why she didn't inform the teacher. Perhaps she just dislikes the subject of mathematics and wanted the class period to end as quickly as possible.,"I formulated this response because the narrative does not explicitly state her internal reasoning, and many students generally find math assessments quite tedious.",A primary lesson someone might extract from this text is that multiple-choice exams are a highly inefficient method for evaluating a student's true academic capabilities.,"I drew this particular conclusion because the story describes Rachel rapidly filling in bubbles on an answer sheet, which reminds me of how fundamentally flawed standardized testing can be.",I do not really know why he kept the wallet. Wallets are usually used to hold personal identification and various credit cards.,I formulated this response because I have frequently observed that adults carry leather wallets in their pockets when running errands.,A good lesson that someone could learn is that eating ice cream outside is a very relaxing activity to do.,I thought of this answer because sitting outdoors at a table while enjoying a sweet dessert is always a highly pleasant experience.
R0015,IIR0,text,moderate,Stealing|Lying|Cat,I honestly don't know. Maybe he just wanted to play basketball instead.,Because the other boys were talking about playing basketball in the story.,Make sure you take showers so you aren't stinky.,"One of the boys yelled at the cat about getting a shower, so I thought of that.",I'm not really sure why she didn't tell the teacher.,"The story just says she didn't say anything, but I couldn't find a reason why.",A lesson someone could learn is to always bring a pencil to class.,"The story mentioned Rachel bubbling in her answer sheet, and you always need a good pencil to do that.",I really don't know why he decided to keep it.,"I just don't know the answer to this one, it doesn't really say.",The lesson is that bikes have two wheels and you can ride them all the way down to the beach.,"I ride my bike to the beach sometimes and it always has two wheels, which makes it fun."
R0016,IIR0,comic,lot,Cat|Stealing|Lying,I honestly have no idea why the red headed boy decided to keep the cat in the end.,I simply couldn't formulate a proper guess based on the panels provided.,Perhaps the lesson is that basketball is a highly competitive sport that requires excellent hand-eye coordination.,"The characters were discussing basketball, and I've read numerous articles about the extensive athletic training required for the sport.",I honestly have no idea why Sarah refrains from informing the teacher about the situation.,"The narrative doesn't explicitly state her motives, so I am completely unable to deduce her underlying reasoning.",Perhaps the primary lesson here is that standardized tests require you to bubble in your answers very carefully with a pencil.,"In the panels depicting the test, the visual emphasis is on the physical act of bubbling in the answer sheets, which prompted this thought.",He probably kept the wallet because genuine leather accessories are highly sought after and quite fashionable.,"I recently watched a fascinating documentary about how leather goods are manufactured, which immediately brought that idea to mind.",A valuable lesson would be to always consume your ice cream rapidly before it inevitably melts in the warm weather.,"The illustrations clearly depict him eating his dessert outside at a table, and from my own personal experience, dairy melts exceptionally fast outdoors."
R0017,IIR0,text,none,Stealing|Cat|Lying,i dont know.,i dont know how to answer this.,basketball is a game.,i like to play games.,i dont know.,i just dont know.,math.,cause they are in math class.,i dont know,i cant think of it,how to ride bikes,i ride my bike at home
