respondent_id,profile_level,format,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0001,IIR0,comic,I dont know.,I just don't know the answer to it.,always eat your vegetables before dessert.,thats what my dad tells me every night.,Because her shirt is pink.,I like pink shirts and she is wearing one.,idk.,nothing.,because wallets hold pictures of peoples dogs.,my mom has a picture of our dog in her wallet.,I don't really know.,Cause I just dont know what a lesson is.
R0002,IIR0,text,Because red hair is cool.,My cousin has red hair.,I don't know.,It's just a story about a cat.,I have no idea.,Because I wasn't there.,You should use a pencil on math tests.,Cause you have to bubble in the answers on the paper.,"I don't know, maybe he just likes wallets.",I just guessed.,Ice cream is really good.,Because he ate ice cream at the shop.
R0003,IIR0,text,I don't know.,I just guessed.,Cats are stinky.,My dog is stinky sometimes too.,She likes to sit at desks.,Because they are in middle school.,Math tests are 40 minutes.,Because the teacher said it.,I don't know.,I just don't know.,Bikes cost 300 dollars.,It said 300 in the story.
R0004,IIR0,comic,Because cats like to play with yarn.,My cat at home plays with yarn a lot.,I don't know what lesson it is.,I just don't know.,I don't know.,I didn't know what to put.,Don't go to school.,Because school is boring sometimes.,He likes to eat ice cream.,Ice cream is really good.,I don't know.,Because I couldn't think of anything.
R0005,IIR1,text,He kept the cat because he saw how sad the cat was when it was wet and shaking.,The text says 'The red headed boy saw how sad the cat was. He walked over to it.',You can take a dirty cat to your house if the other boys are being mean to it.,"Because the story says the boys were laughing at the cat in the rain, so Bruno took him to his new home.",Because Rachel whispered to her to not tell on her.,I know because the story says Rachel said 'Don't tell on me. I'm your best friend'.,Don't tell the teacher when your friend is copying answers.,Because Sarah just said 'Nothing is going on Ms. Craig' and continued taking her test.,Because Billy wanted to use the $300 to buy the beautiful bike.,"Because in the story Billy says 'With that money, I could buy that red bike!'",Don't forget your wallet on the table when you go get ice cream.,Because the lady left her wallet at the table and Billy grabbed it when she left.
R0006,IIR1,text,"Because he saw that the cat was wet, cold, and sad.",The story says he saw how sad the cat was and then he bent down and pet it.,You can be nice to sad cats.,Because Bruno saw how sad the cat was in the rain and decided to take it to his home anyway.,Because Rachel told her to be quiet and not tell on her.,Because Rachel whispered to her 'Don't tell on me. I'm your best friend'.,Don't copy other students' answers when you take a test.,Because Rachel didn't study and then she just looked over the shoulder of the kid in front of her to copy his answers.,Because it had $300 inside of it and he wanted the red bike.,Because he opened it and said that with that money he could buy that red bike.,Don't grab a lady's wallet if she leaves it at a table.,Because the lady forgot her wallet and Billy just grabbed it and then said he didn't know where it was.
R0007,IIR1,comic,Because he saw how sad the cat was in the rain and he wanted to give it a new home.,"The box at the top says he saw how sad the cat was, and then his speech bubble says he is taking it to his home.",You can pet a cat and take it home even if your friends say they won't play basketball with you.,"Because the kids told him they wouldn't play with him if he touched the dirty cat, but he bent down and did it anyways.",Because Rachel told her to shhhhh and said 'I'm your best friend'.,I read it right in the text bubble where Rachel whispers to Sarah after she saw her copying.,Don't look at someone else's test when the teacher says no cheating.,The teacher wrote no cheating on the board but Rachel still copied the boy's answers in front of her.,He kept it because he saw there was $300 inside and he wanted to buy the new red bike.,"The comic shows him opening the wallet and saying 'With that money, I could buy that red bike!'.",You shouldn't tell a lady you don't know where her wallet is when you actually took it.,"Because the lady came back asking if he saw her wallet and he just said 'No, I don't know where it is'."
R0008,IIR1,comic,He kept the cat because he saw how sad the cat was sitting in the rain.,"The story says the boy saw the cat was sad and wet, and then he said he would take him to his new home.",Don't laugh at dirty cats and call them stinky.,I thought of this because the kids in the comic were pointing and laughing at the cat and calling it yucky.,Because Rachel told her not to tell on her.,Rachel whispered to Sarah to shhh and said don't tell on me I'm your best friend.,Don't copy other people's answers on a test.,The teacher wrote no cheating on the board but Rachel was copying the boy in front of her.,Because the wallet had 300 dollars in it and he wanted to buy the red bike.,In the picture he opens the wallet and says with that money he could buy that red bike.,You shouldn't keep a lady's wallet and tell her you don't know where it is.,Because Billy told the lady he didn't know where it was even though he just grabbed it.
R0009,IIR2,comic,Because he felt lonely and wanted a pet to keep him company.,Animals make really good friends when you are sad or feeling left out by other kids.,Be nice to animals.,Pets need a good home and you shouldn't bully animals just because they are dirty from being outside.,Because you aren't supposed to snitch on your friends.,If you tell on your best friend they will get mad at you and won't be your friend anymore.,Don't cheat on tests.,Cheating never gets you anywhere and it's unfair to the kids who actually studied hard.,He wanted the money to buy something he really wanted.,"Because when people find money and don't return it, it's usually because they are greedy and want to buy stuff for themselves.",Stealing is bad and makes you a liar.,"Because you shouldn't take things that don't belong to you, it's just wrong to steal from people."
R0010,IIR2,text,He wanted a pet to keep him company and make him feel better since he was feeling lonely.,Animals are really good at comforting people when they are sad or having a hard time with other kids.,You shouldn't care about what mean kids think and just be yourself.,"Bullies always try to make you feel bad to look cool, but it's better to just ignore them and do what makes you happy.",Because you aren't supposed to snitch on your friends or they will get mad at you and stop hanging out with you.,"That's just the rule in middle school, you always protect your best friends no matter what they do.",You shouldn't cheat on school tests because it's wrong.,Because in real life cheaters never prosper and it's better to just do your own work.,"Because he really wanted to buy something expensive and didn't have his own money for it, so he just took hers.",Usually when kids steal money it's because they want to buy stuff their parents won't get them.,Stealing is bad even if you really want something.,Taking people's wallets and lying about it is just a bad thing to do in life.
